File,Line#,Emoji,Context,Category,Action,Notes
slides/week2/lecture5.tex,127,🤔,frame title Why Not Just Split on Spaces?,semantic,keep,Represents questioning
slides/week2/lecture5.tex,142,💥,text Problem 1: Vocabulary explosion,semantic,keep,Represents explosion/problem
slides/week2/lecture5.tex,148,❓,text Problem 2: Unknown words,semantic,keep,Represents question
slides/week2/lecture5.tex,155,🌏,text Problem 3: No spaces in some languages!,semantic,keep,Represents global/world
slides/week2/lecture5.tex,157,📉,frame title Word-level Limitations Illustrated,decorative,remove,Decorates heading
slides/week2/lecture5.tex,174,📈,text Word-level,semantic,keep,Represents growth in chart
slides/week2/lecture5.tex,175,📊,text Subword-level,semantic,keep,Represents data
slides/week2/lecture5.tex,187,🚨,frame title The OOV Problem in Action,semantic,keep,Represents alert/warning
slides/week2/lecture5.tex,214,🎯,frame title The Solution: Subword Tokenization,decorative,remove,Already established usage
slides/week2/lecture5.tex,228,✅,list item Fixed manageable vocabulary,semantic,keep,Represents check
slides/week2/lecture5.tex,229,✅,list item Handle unknown words,semantic,keep,Represents check
slides/week2/lecture5.tex,230,✅,list item Capture morphology,semantic,keep,Represents check
slides/week2/lecture5.tex,231,✅,list item Language-agnostic,semantic,keep,Represents check
slides/week2/lecture5.tex,235,📊,text How? Learn common character sequences from data!,decorative,remove,Already established usage
slides/week2/lecture5.tex,238,📊,frame title Visual: How unhappiness Gets Tokenized,decorative,remove,Decorates heading
slides/week2/lecture5.tex,282,🔧,frame title Byte-Pair Encoding (BPE),decorative,remove,Already established usage
slides/week2/lecture5.tex,303,📖,text Reference,semantic,keep,Represents reading
slides/week2/lecture5.tex,306,👣,frame title BPE Example: Step by Step,semantic,keep,Represents steps/progression
slides/week2/lecture5.tex,339,🎨,frame title BPE Visualization,decorative,remove,Decorates heading
slides/week2/lecture5.tex,388,🤗,frame title BPE in Practice with HuggingFace,semantic,keep,HuggingFace brand
slides/week2/lecture5.tex,416,🧩,frame title WordPiece Tokenization,semantic,keep,Represents puzzle/pieces
slides/week2/lecture5.tex,442,📖,text Reference,semantic,keep,Represents reading
slides/week2/lecture5.tex,445,🔍,frame title WordPiece Example with BERT,decorative,remove,Already established usage
slides/week2/lecture5.tex,472,🌍,frame title SentencePiece: Language-Agnostic Tokenization,semantic,keep,Represents global
slides/week2/lecture5.tex,498,📖,text Reference,semantic,keep,Represents reading
slides/week2/lecture5.tex,501,🚀,frame title SentencePiece in Action,decorative,remove,Decorates heading
slides/week2/lecture5.tex,523,🌏,text Key advantage: No language-specific preprocessing required!,decorative,remove,Already established usage
slides/week2/lecture5.tex,527,📋,frame title Tokenization Methods Comparison,decorative,remove,Decorates heading
slides/week2/lecture5.tex,551,📖,text HuggingFace Resources,semantic,keep,Represents reading
slides/week2/lecture5.tex,558,🔬,frame title Comparing Tokenizers Side-by-Side,semantic,keep,Represents science/analysis
slides/week2/lecture5.tex,585,🎟️,frame title Special Tokens,semantic,keep,Represents tickets/tokens
slides/week2/lecture5.tex,613,🔧,frame title Working with Special Tokens,decorative,remove,Already established usage
slides/week2/lecture5.tex,639,🎚️,frame title Vocabulary Size Trade-offs,semantic,keep,Represents slider/adjustment
slides/week2/lecture5.tex,643,➕,list item Faster training,semantic,keep,Represents positive
slides/week2/lecture5.tex,644,➕,list item Less memory,semantic,keep,Represents positive
slides/week2/lecture5.tex,645,➖,list item Longer sequences,semantic,keep,Represents negative
slides/week2/lecture5.tex,646,➖,list item May lose semantic information,semantic,keep,Represents negative
slides/week2/lecture5.tex,651,➕,list item Shorter sequences,semantic,keep,Represents positive
slides/week2/lecture5.tex,652,➕,list item Better semantic preservation,semantic,keep,Represents positive
slides/week2/lecture5.tex,653,➖,list item Slower training,semantic,keep,Represents negative
slides/week2/lecture5.tex,654,➖,list item More memory required,semantic,keep,Represents negative
slides/week2/lecture5.tex,665,⚠️,frame title Tokenization Pitfalls and Gotchas,semantic,keep,Represents warning
slides/week2/lecture5.tex,700,🐛,frame title Debugging Tokenization,semantic,keep,Represents bug/debugging
slides/week2/lecture5.tex,727,👶,frame title Connection to Human Language Learning,decorative,remove,Already established usage
slides/week2/lecture5.tex,751,📖,text Reference,semantic,keep,Represents reading
slides/week2/lecture5.tex,754,📊,frame title Statistical Learning in Action,decorative,remove,Already established usage
slides/week2/lecture5.tex,797,🎯,text Both use distributional statistics to discover structure!,decorative,remove,Already established usage
slides/week2/lecture5.tex,801,🧪,frame title Hands-On Exercise,decorative,remove,Already established usage
slides/week2/lecture5.tex,812,😊🎉,list item Emoji test,semantic,keep,Self-referential test example
slides/week2/lecture5.tex,829,💭,frame title Discussion Questions,semantic,keep,Represents thinking
slides/week2/lecture5.tex,859,📚,frame title Primary References,decorative,remove,Decorates heading
slides/week2/lecture5.tex,886,🎯,frame title Key Takeaways,decorative,remove,Already established usage
slides/week2/lecture5.tex,920,🔮,frame title Looking Ahead,decorative,remove,Decorates heading
slides/week2/lecture5.tex,941,🤔,standout frame Questions?,decorative,remove,Decorates heading
slides/week2/lecture6.tex,52,🎯,frame title Learning Objectives,decorative,remove,Decorates heading
slides/week2/lecture6.tex,66,🤔,text Central questions,semantic,keep,Represents questioning
slides/week2/lecture6.tex,67,😊😢,text What does it mean for a model to understand emotion?,semantic,keep,Represents sentiment
slides/week2/lecture6.tex,72,🎯,frame title Part-of-Speech (POS) Tagging,decorative,remove,Already established usage
slides/week2/lecture6.tex,116,📋,frame title POS Tagsets: Universal vs. Fine-Grained,decorative,remove,Decorates heading
slides/week2/lecture6.tex,157,🔄,frame title Context Matters: Ambiguous Words,semantic,keep,Represents change/cycle
slides/week2/lecture6.tex,183,🚀,frame title POS Tagging with spaCy,decorative,remove,Decorates heading
slides/week2/lecture6.tex,213,🧠,frame title How Do POS Taggers Work?,decorative,remove,Topic implies brain
slides/week2/lecture6.tex,239,🤖,frame title Neural Networks and Grammar,decorative,remove,Already established usage
slides/week2/lecture6.tex,250,✅,text acceptable sentence,semantic,keep,Represents correctness
slides/week2/lecture6.tex,251,❌,text unacceptable sentence,semantic,keep,Represents incorrectness
slides/week2/lecture6.tex,272,📖,text Reference,semantic,keep,Represents reading
slides/week2/lecture6.tex,275,📊,frame title BLiMP: Testing Linguistic Knowledge,decorative,remove,Decorates heading
slides/week2/lecture6.tex,305,📖,text Reference,semantic,keep,Represents reading
slides/week2/lecture6.tex,308,🤗,frame title Token Classification with HuggingFace,semantic,keep,HuggingFace brand
slides/week2/lecture6.tex,333,📖,text HuggingFace Chapter 7.2,semantic,keep,Represents reading
slides/week2/lecture6.tex,336,🤔,frame title Discussion: Do Models Understand Grammar?,semantic,keep,Represents questioning
slides/week2/lecture6.tex,366,😊😢,frame title Sentiment Analysis: From Structure to Emotion,decorative,remove,Already established usage
slides/week2/lecture6.tex,376,📱,list item Social media monitoring,semantic,keep,Represents mobile/social
slides/week2/lecture6.tex,377,🛍️,list item Customer feedback analysis,semantic,keep,Represents shopping/commerce
slides/week2/lecture6.tex,378,📈,list item Market research and stock prediction,semantic,keep,Represents growth
slides/week2/lecture6.tex,379,🎬,list item Movie/product review analysis,semantic,keep,Represents entertainment
slides/week2/lecture6.tex,380,🗳️,list item Political opinion tracking,semantic,keep,Represents voting/politics
slides/week2/lecture6.tex,393,🚧,frame title Sentiment Analysis Challenges,semantic,keep,Represents construction/work in progress
slides/week2/lecture6.tex,396,🙄,text sarcasm example Oh great another meeting,semantic,keep,Represents sarcasm
slides/week2/lecture6.tex,429,📖,frame title Sentiment Lexicons: The Old-School Approach,decorative,remove,Decorates heading
slides/week2/lecture6.tex,461,🔤,frame title Lexicon-Based Sentiment Analysis,decorative,remove,Already established usage
slides/week2/lecture6.tex,487,🤖,frame title Modern Approach: Pre-trained Models,decorative,remove,Already established usage
slides/week2/lecture6.tex,515,🤗,frame title Sentiment Analysis with HuggingFace,semantic,keep,HuggingFace brand
slides/week2/lecture6.tex,543,📖,text HuggingFace Chapter 1.2,semantic,keep,Represents reading
slides/week2/lecture6.tex,546,🎯,frame title Domain-Specific Sentiment Models,decorative,remove,Already established usage
slides/week2/lecture6.tex,578,📊,frame title Comparing General vs. Domain-Specific,decorative,remove,Decorates heading
slides/week2/lecture6.tex,607,🎓,frame title Fine-Tuning for Sentiment Analysis,decorative,remove,Decorates heading
slides/week2/lecture6.tex,640,📖,text HuggingFace Chapter 3.2,semantic,keep,Represents reading
slides/week2/lecture6.tex,643,🔧,frame title Fine-Tuning Example (Simplified),decorative,remove,Already established usage
slides/week2/lecture6.tex,676,📏,frame title Evaluation Metrics for Sentiment Analysis,semantic,keep,Represents measurement
slides/week2/lecture6.tex,705,🎭,frame title Confusion Matrix Example,semantic,keep,Represents theater/dual aspects
slides/week2/lecture6.tex,744,🔍,frame title Aspect-Based Sentiment Analysis,decorative,remove,Already established usage
slides/week2/lecture6.tex,756,✅,text Food: Positive,semantic,keep,Represents check
slides/week2/lecture6.tex,757,❌,text Service: Negative,semantic,keep,Represents negation
slides/week2/lecture6.tex,758,😐,text Atmosphere: Neutral,semantic,keep,Represents neutral
slides/week2/lecture6.tex,773,🛍️,frame title Real-World Application: Product Review Analysis,decorative,remove,Already established usage
slides/week2/lecture6.tex,807,🧪,frame title Hands-On Exercise,decorative,remove,Already established usage
slides/week2/lecture6.tex,835,💭,frame title Discussion: Understanding Emotion,semantic,keep,Represents thinking
slides/week2/lecture6.tex,866,🧩,frame title Week 2 Integration: Putting It All Together,semantic,keep,Represents puzzle/integration
slides/week2/lecture6.tex,891,📧,frame title Assignment 2: SPAM Email Classifier,semantic,keep,Represents email
slides/week2/lecture6.tex,916,🎯,frame title Key Takeaways,decorative,remove,Already established usage
slides/week2/lecture6.tex,950,📚,frame title Primary References,decorative,remove,Decorates heading
slides/week2/lecture6.tex,973,🔮,frame title Looking Ahead: Weeks 3-4,decorative,remove,Decorates heading
slides/week2/lecture6.tex,999,🔗,frame title Additional Resources,decorative,remove,Decorates heading
slides/week2/lecture6.tex,1024,🎉,standout frame Thank you!,decorative,remove,Generic celebration
slides/week2/lecture6.tex,1037,💻,text Happy coding!,decorative,remove,Generic excitement
